Файл;Описание;Категория;Ширина;Высота;Формат
03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/phone_booth_v01.png;Телефонная будка — вариация 1;Телефонные будки;180;382;PNG RGBA
03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/phone_booth_v02.png;Телефонная будка — вариация 2;Телефонные будки;195;380;PNG RGBA
03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/phone_booth_v03.png;Телефонная будка — вариация 3;Телефонные будки;205;379;PNG RGBA
03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/phone_booth_v04.png;Телефонная будка — вариация 4;Телефонные будки;215;382;PNG RGBA
03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/mailbox_blue_v01.png;Синий почтовый ящик — вариация 1;Почтовые ящики;170;273;PNG RGBA
03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/mailbox_blue_v02.png;Синий почтовый ящик — вариация 2;Почтовые ящики;175;266;PNG RGBA
03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/mailbox_blue_v03.png;Синий почтовый ящик — вариация 3;Почтовые ящики;190;277;PNG RGBA
03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/mailbox_blue_v04.png;Синий почтовый ящик — вариация 4;Почтовые ящики;204;277;PNG RGBA
03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/poster_pole_v01.png;Столб с объявлениями — вариация 1;Столбы;107;463;PNG RGBA
03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/poster_pole_v02.png;Столб с объявлениями — вариация 2;Столбы;127;465;PNG RGBA
03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/poster_pole_v03.png;Столб с объявлениями — вариация 3;Столбы;140;465;PNG RGBA
03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/poster_pole_v04.png;Столб с объявлениями — вариация 4;Столбы;147;462;PNG RGBA
03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/entrance_door_v01.png;Дверь подъезда — вариация 1;Двери;228;443;PNG RGBA
03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/entrance_door_v02.png;Дверь подъезда — вариация 2;Двери;250;411;PNG RGBA
03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/entrance_door_v03.png;Дверь подъезда — вариация 3;Двери;240;411;PNG RGBA
03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/entrance_door_v04.png;Дверь подъезда — вариация 4;Двери;233;410;PNG RGBA
04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/news_kiosk_v01.png;Газетный киоск — вариация 1;Городская архитектура;339;328;PNG RGBA
04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/news_kiosk_v02.png;Газетный киоск — вариация 2;Городская архитектура;344;330;PNG RGBA
04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/news_kiosk_v03.png;Газетный киоск — вариация 3;Городская архитектура;324;330;PNG RGBA
04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/news_kiosk_v04.png;Газетный киоск — вариация 4;Городская архитектура;362;320;PNG RGBA
04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/bus_stop_v01.png;Автобусная остановка — вариация 1;Городская архитектура;356;290;PNG RGBA
04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/bus_stop_v02.png;Автобусная остановка — вариация 2;Городская архитектура;362;290;PNG RGBA
04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/bus_stop_v03.png;Автобусная остановка — вариация 3;Городская архитектура;362;290;PNG RGBA
04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/bus_stop_v04.png;Автобусная остановка — вариация 4;Городская архитектура;357;290;PNG RGBA
04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/balcony_old_v01.png;Балкон панельного дома — вариация 1;Городская архитектура;353;300;PNG RGBA
04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/balcony_old_v02.png;Балкон панельного дома — вариация 2;Городская архитектура;352;300;PNG RGBA
04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/balcony_old_v03.png;Балкон панельного дома — вариация 3;Городская архитектура;345;300;PNG RGBA
04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/balcony_old_v04.png;Балкон панельного дома — вариация 4;Городская архитектура;350;300;PNG RGBA
04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/shop_sign_blank_v01.png;Вывеска магазина без текста — вариация 1;Городская архитектура;352;175;PNG RGBA
04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/shop_sign_blank_v02.png;Вывеска магазина без текста — вариация 2;Городская архитектура;323;180;PNG RGBA
04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/shop_sign_blank_v03.png;Вывеска магазина без текста — вариация 3;Городская архитектура;353;183;PNG RGBA
04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/shop_sign_blank_v04.png;Вывеска магазина без текста — вариация 4;Городская архитектура;362;181;PNG RGBA
05_РАСТИТЕЛЬНОСТЬ_КЛУМБЫ_ЗАБОРЫ/autumn_tree_v01.png;Осеннее дерево — вариация 1;Растительность;360;468;PNG RGBA
05_РАСТИТЕЛЬНОСТЬ_КЛУМБЫ_ЗАБОРЫ/autumn_tree_v02.png;Осеннее дерево — вариация 2;Растительность;362;466;PNG RGBA
05_РАСТИТЕЛЬНОСТЬ_КЛУМБЫ_ЗАБОРЫ/autumn_tree_v03.png;Осеннее дерево — вариация 3;Растительность;362;469;PNG RGBA
05_РАСТИТЕЛЬНОСТЬ_КЛУМБЫ_ЗАБОРЫ/autumn_tree_v04.png;Осеннее дерево — вариация 4;Растительность;355;467;PNG RGBA
05_РАСТИТЕЛЬНОСТЬ_КЛУМБЫ_ЗАБОРЫ/bush_v01.png;Куст — вариация 1;Растительность;349;250;PNG RGBA
